htitem_id	title	author	date	rights	OCLC	LCCN	ISBN	catalog_url	handle_url
uc1.32106019788188	Parliamentary debates (Hansard) v.111 1900	New Zealand. Parliament	1900-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019788188
uc1.32106019788212	Parliamentary debates (Hansard) v.114 1900	New Zealand. Parliament	1900-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019788212
uc1.32106019788220	Parliamentary debates (Hansard) v.115 1900	New Zealand. Parliament	1900-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019788220
uc1.32106019788246	Parliamentary debates (Hansard) v.117 1901	New Zealand. Parliament	1901-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019788246
uc1.32106019788253	Parliamentary debates (Hansard) v.118 1901	New Zealand. Parliament	1901-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019788253
uc1.32106019788261	Parliamentary debates (Hansard) v.119 1901	New Zealand. Parliament	1901-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019788261
uc1.32106019788279	Parliamentary debates (Hansard) v.120 1902	New Zealand. Parliament	1902-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019788279
uc1.32106019788287	Parliamentary debates (Hansard) v.121 1902	New Zealand. Parliament	1902-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019788287
uc1.32106019788295	Parliamentary debates (Hansard) v.122 1902	New Zealand. Parliament	1902-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019788295
uc1.32106019788303	Parliamentary debates (Hansard) v.123 1903	New Zealand. Parliament	1903-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019788303
uc1.32106019788311	Parliamentary debates (Hansard) v.124 1903	New Zealand. Parliament	1903-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019788311
uc1.32106019788329	Parliamentary debates (Hansard) v.125 1903	New Zealand. Parliament	1903-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019788329
uc1.32106019788337	Parliamentary debates (Hansard) v.126 1903	New Zealand. Parliament	1903-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019788337
uc1.32106019788345	Parliamentary debates (Hansard) v.127 1903	New Zealand. Parliament	1903-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019788345
uc1.32106019788352	Parliamentary debates (Hansard) v.128 1904	New Zealand. Parliament	1904-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019788352
uc1.32106019788360	Parliamentary debates (Hansard) v.129 1904	New Zealand. Parliament	1904-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019788360
uc1.32106019788378	Parliamentary debates (Hansard) v.130 1904	New Zealand. Parliament	1904-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019788378
uc1.32106019788394	Parliamentary debates (Hansard) v.132 1905	New Zealand. Parliament	1905-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019788394
uc1.32106019788410	Parliamentary debates (Hansard) v.134 1905	New Zealand. Parliament	1905-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.32106019788410
uc1.b2889951	Parliamentary debates (Hansard) 1905:2	New Zealand. Parliament	1905-00-00	17	248552646,173355174,4826506,173322878			https://catalog.hathitrust.org/Record/007119315	https://hdl.handle.net/2027/uc1.b2889951
